Name,Restaurant_Type,Address,Zip_Code,Phone
Addis Abeba Restaurant,Afrikanisches Restaurant,Kaiserin-Augusta-Allee 46,10589 Berlin–Charlottenburg,(030) 345 059 53
Adnan,Mediterranes Restaurant,Schlüterstr. 33,10629 Berlin–Charlottenburg,(030) 547 105 90
Aida,Italienisches Restaurant,Knesebeckstr. 83,10623 Berlin–Charlottenburg,(030) 318 067 50
Ajanta,Indisches Restaurant,Grolmanstr. 15,10623 Berlin–Charlottenburg,(030) 310 161 16
AJBrasil,Brasilianisches Restaurant,Krumme Str. 57,10627 Berlin–Charlottenburg,(0176) 314 160 50
Alberts Restaurant,Internationales Restaurant,Stuttgarter Platz 13,10627 Berlin–Charlottenburg,(030) 419 969 40
Ali Baba,Pizzeria,Bleibtreustr. 45,10623 Berlin–Charlottenburg,(030) 881 135 0
Alt Berliner Biersalon,Berliner Restaurant,Kurfürstendamm 225/226,10719 Berlin–Charlottenburg,(030) 884 399 0
Anabelas Kitchen,Internationales Restaurant,Pestalozzistr. 3,10625 Berlin–Charlottenburg,(030) 287 012 24
Anappurna,Indisches Restaurant,Marburger Straße 5,10789 Berlin–Charlottenburg,(030) 318 038 27
AndaLucia Tapasbar & Restaurant,Spanisches Restaurant,Savignyplatz 2,10623 Berlin–Charlottenburg,None
Andy's Diner & Bar,Amerikanisches Restaurant,Messedamm 10,14057 Berlin–Charlottenburg,(030) 301 603 8
Arirang,Koreanisches Restaurant,Uhlandstr. 194,10623 Berlin–Charlottenburg,(030) 450 212 48
Aroma,Chinesisches Restaurant,Kantstr. 35,10625 Berlin–Charlottenburg,(030) 375 916 28
Asal Restaurant,Persisches Restaurant,Neue Kantstr. 31,14057 Berlin–Charlottenburg,(030) 321 829 2
Ashoka,Indisches Restaurant,Grolmanstr. 51,10623 Berlin–Charlottenburg,(030) 310 158 06
Asia Sushi Time,Sushirestaurant,Klausenerplatz 14,14059 Berlin–Charlottenburg,(030) 300 967 69
Asude Restaurant,Tuerkisches Restaurant,Bismarckstr. 63,10627 Berlin–Charlottenburg,(030) 345 040 04
au Lac im Ringhotel Seehof Berlin,Deutsches Restaurant,Lietzenseeufer 11,14057 Berlin–Charlottenburg,(030) 320 021 77
Aufwind,Fischrestaurant,Windscheidstr. 31,10627 Berlin–Charlottenburg,(030) 547 108 00
Baba Angora,Tuerkisches Restaurant,Schlüterstr. 29,10629 Berlin–Charlottenburg,(030) 323 709 6
Balkh Restaurant,Afghanisches Restaurant,Reichweindamm 5-9,13627 Berlin–Charlottenburg,(01577) 485 279 1
Bar Brass,Franzoesisches Restaurant,Am Spreebord 9,10589 Berlin–Charlottenburg,(030) 383 032 00
Bares,Mediterranes Restaurant,Helmholtzstr. 37,10587 Berlin–Charlottenburg,(030) 398 339 85
Beef Grill Club by Hasir,Steakhaus,Tauentzienstr. 21-24 - KaDeWe,10789 Berlin–Charlottenburg,None
Beef Grill Club by Hasir,Steakhaus,Kurfürstendamm 72,10709 Berlin–Charlottenburg,None
Belmondo,Franzoesisches Restaurant,Knesebeckstr. 93,10623 Berlin–Charlottenburg,(030) 362 872 61
Ben Thanh,Vietnamesisches Restaurant,Kantstr. 78,10627 Berlin–Charlottenburg,(030) 318 038 68
Berliner Stube im Steigenberger Hotel,Berliner Restaurant,Los-Angeles-Platz 1,10789 Berlin–Charlottenburg,(030) 212 770 8
Bar Restaurant Beyti,Tuerkisches Restaurant,Savignyplatz 1,10623 Berlin–Charlottenburg,None
Bibi Fastfood Restaurant,Persisches Restaurant,Halemweg 17-19,13627 Berlin–Charlottenburg,(030) 526 695 66
Bier’s Kudamm 195,Imbiss,Kurfürstendamm 195,10707 Berlin–Charlottenburg,(030) 881 894 2
Bio Fein Bio,Bistro,Leibnizstr. 30,10625 Berlin–Charlottenburg,(030) 547 109 80
Biscotti,Italienisches Restaurant,Pestalozzistr. 88,10625 Berlin–Charlottenburg,(030) 312 393 7
Black & White,Tuerkisches Restaurant,Uhlandstr. 171-172,10719 Berlin–Charlottenburg,None
Bleib V,Vegetarisches Restaurant,Nürnberger Str. 45,10789 Berlin–Charlottenburg,None
Block House,Steakhaus,Theodor-Heuss-Platz 12,14052 Berlin–Charlottenburg,(030) 301 709 1
Bonito,Spanisches Restaurant,Nürnberger Str. 21,10789 Berlin–Charlottenburg,(0176) 627 159 77
Boujee Berlin,Internationales Restaurant,Pariser Straße 18a,10707 Berlin–Charlottenburg,None
Brasserie Colette Tim Raue,Franzoesisches Restaurant,Passauer Str. 5-7,10789 Berlin–Charlottenburg,(030) 219 921 74
Brasserie Lamazère,Franzoesisches Restaurant,Stuttgarter Platz 18,10627 Berlin–Charlottenburg,(030) 318 007 12
Brasserie Le Paris,Franzoesisches Restaurant,Kurfürstendamm 211,10719 Berlin–Charlottenburg,(030) 887 046 55
Bristol Grill,Gourmetrestaurant,Kurfürstendamm 27,10719 Berlin–Charlottenburg,(030) 884 347 67
Brotgarten,Bistro,Seelingstr. 30,14059 Berlin–Charlottenburg,(030) 322 888 0
Bruderherz,Italienisches Restaurant,Leonhardtstr. 6,14057 Berlin–Charlottenburg,None
Burger King Beteiligungs GmbH,Fast Food,Saatwinkler Damm 61-64,13627 Berlin–Charlottenburg,(030) 605 902 00
Burger King,Fast Food,Wilmersdorfer Str. 112,10627 Berlin–Charlottenburg,(030) 856 080 10
burgerme Franchise GmbH,Burger,Königin-Elisabeth-Str. 52,14059 Berlin–Charlottenburg,(030) 467 247 467
Burgerzimmer,Burger,Kantstr. 62,10627 Berlin–Charlottenburg,(030) 896 112 86
Calcutta Restaurant,Indisches Restaurant,Bleibtreustr. 17,10623 Berlin–Charlottenburg,(030) 883 629 3
Cali Bocca,Italienisches Restaurant,Schlüterstr. 30,10629 Berlin–Charlottenburg,(030) 720 233 01
Call a Pizza,Pizzaservice,Sophie-Charlotten-Straße 35,14059 Berlin–Charlottenburg,(030) 321 107 5
Call a Pizza,Pizzaservice,Halemweg 17-19,13627 Berlin–Charlottenburg,(030) 381 904 5
Cancún Kaiserdamm,Mexikanisches Restaurant,Kaiserdamm 24,14057 Berlin–Charlottenburg,(030) 301 111 05
Cantina Siciliana,Italienisches Restaurant,Kaiserdamm 15,14057 Berlin–Charlottenburg,(030) 322 845 5
Trattoria & Pizzeria Cantinetta,Italienisches Restaurant,Goethestr. 38,10625 Berlin–Charlottenburg,(030) 326 678 56
Casa di Maria,Italienisches Restaurant,Uhlandstr. 149,10719 Berlin–Charlottenburg,None
Cassambalis,Mediterranes Restaurant,Grolmanstr. 35,10623 Berlin–Charlottenburg,(030) 885 474 7
Phan Hoai & Phan Thi Bich GbR,Vietnamesisches Restaurant,Kantstr. 33,10625 Berlin–Charlottenburg,(030) 327 662 26
Charlottchen,Deutsches Restaurant,Droysenstr. 1 - Ecke Gervinusstr.,10629 Berlin–Charlottenburg,(030) 324 471 7
Chibee Korean Chicken & Beer,Koreanisches Restaurant,Tegeler Str. 29a,13353 Berlin–Charlottenburg,(030) 223 261 05
Chicago Williams BBQ,Amerikanisches Restaurant,Marburger Str. 16,10789 Berlin–Charlottenburg,(030) 280 424 22
Christopher's,Gourmetrestaurant,Mommsenstr. 63,10629 Berlin–Charlottenburg,(030) 243 562 82
Clara Vere,Oesterreichisches Restaurant,Spielhagenstr. 3,10585 Berlin–Charlottenburg,(030) 362 873 00
Cooking Papa,Koreanisches Restaurant,Wilmersdorfer Str. 72,10629 Berlin–Charlottenburg,(030) 955 915 86
Cordoba,Steakhaus,Danckelmannstr. 1,14059 Berlin–Charlottenburg,(030) 330 070 28
Cumberland Restaurant GmbH,Franzoesisches Restaurant,Kurfürstendamm 193,10707 Berlin–Charlottenburg,(030) 276 963 08
Curry 36,Imbiss,Hardenbergplatz 9,10623 Berlin–Charlottenburg,(030) 319 929 92
Curry Wolf Berlin GmbH,Imbiss,Rankestr. 36,10789 Berlin–Charlottenburg,(030) 339 373 39
Currystation 36,Imbiss,Otto-Suhr-Allee 36,10585 Berlin–Charlottenburg,(030) 341 067 3
Da Peppino,Italienisches Restaurant,Wundtstr. 17,14059 Berlin–Charlottenburg,(030) 301 115 80
Da Torino,Italienisches Restaurant,Bleibtreustr. 30,10719 Berlin–Charlottenburg,None
Dante Restaurant Berlin,Italienisches Restaurant,Tegeler Weg 16,10589 Berlin–Charlottenburg,(030) 344 314 8
Dao Restaurant,Thailaendisches Restaurant,Kantstr. 133,10625 Berlin–Charlottenburg,(030) 375 914 14
Restaurant Daband,Persisches Restaurant,Schustehrusstr. 3,10585 Berlin–Charlottenburg,(030) 669 332 82
De Maufel,Bistro,Leonhardtstr. 13,14057 Berlin–Charlottenburg,(030) 310 043 99
dean & david,Bistro,Kurfürstendamm 21 - Kranzler-Eck,10719 Berlin–Charlottenburg,(030) 887 720 20
Die Quadriga,Internationales Restaurant,Eislebener Str. 14 - im Dormero Hotel Berlin Ku'damm,10789 Berlin–Charlottenburg,(030) 214 050
Die Stulle - Lecker Essen Manufaktur,Bistro,Carmerstr. 10,10623 Berlin–Charlottenburg,None
Diekmann,Franzoesisches Restaurant,Meinekestr. 7,10719 Berlin–Charlottenburg,(030) 883 332 1
Ditsch,Fast Food,Tauentzienstr. 9-12,10789 Berlin–Charlottenburg,(030) 230 032 89
Diyar Simit Evi,Tuerkisches Restaurant,Havelstr. 10,13597 Berlin–Charlottenburg,(030) 353 064 44
China Restaurant Do De Li,Chinesisches Restaurant,Kantstr. 120,10625 Berlin–Charlottenburg,(030) 312 541 8
Do-Long,Asiatisches Restaurant,Wilmersdorfer Str. 29,10585 Berlin–Charlottenburg,(030) 347 042 02
Domino's Pizza Deutschland GmbH,Pizzaservice,Spandauer Damm 127,14050 Berlin–Charlottenburg,(030) 330 087 40
Domino's Pizza Deutschland GmbH,Pizzaservice,Kaiserdamm 14,14057 Berlin–Charlottenburg,(030) 308 308 80
Don Giovanni,Italienisches Restaurant,Bismarckstr. 28,10625 Berlin–Charlottenburg,(030) 341 765 3
Don Quijote,Spanisches Restaurant,Bleibtreustr. 41,10623 Berlin–Charlottenburg,(030) 881 320 8
Dozo Ramen,Japanisches Restaurant,Leonhardtstr. 24,14057 Berlin–Charlottenburg,(030) 556 398 96
Dudu 31,Vietnamesisches Restaurant,Bleibtreustr. 31,10707 Berlin–Charlottenburg,(030) 577 955 77
Einhorn,Bistro,Mommsenstr. 2,10629 Berlin–Charlottenburg,(030) 881 424 1
El Borriquito,Spanisches Restaurant,Wielandstr. 6,10625 Berlin–Charlottenburg,(030) 312 992 9
El Dorado,Steakhaus,Kurfürstendamm 203-205,10719 Berlin–Charlottenburg,(030) 889 265 82
Engelbecken,Alpenlaendisches Restaurant,Witzlebenstr. 31,14057 Berlin–Charlottenburg,(030) 615 281 0
Enoiteca Il Calice,Italienisches Restaurant,Walter-Benjamin-Platz 4 - Leibnizkolonnaden,10629 Berlin–Charlottenburg,None
Enoteca L'Angolino,Italienisches Restaurant,Knesebeckstr. 92,10623 Berlin–Charlottenburg,(030) 887 136 30
est.,Fusion Restaurant,Meinekestr. 20,10719 Berlin–Charlottenburg,(030) 845 117 78
Falafel Salam,Imbiss,Rankestr. 3,10789 Berlin–Charlottenburg,(030) 881 346 1
Five Guys,Fast Food,Joachimsthaler Str. 10,10719 Berlin–Charlottenburg,(030) 330 265 01
Focaccino,Italienisches Restaurant,Stuttgarter Platz 16,10627 Berlin–Charlottenburg,None
Fortys,Internationales Restaurant,Salzufer 1 - In der Mercedes-Welt,10587 Berlin–Charlottenburg,(030) 390 115 883 388
Friends & Friends,Asiatisches Restaurant,Stuttgarter Platz 21,10627 Berlin–Charlottenburg,(030) 310 108 74
Funkturm-Restaurant,Internationales Restaurant,Messedamm 22,14055 Berlin–Charlottenburg,(030) 303 829 00
